district,state,cluster,Youth Population %,Sex Ratio (Total),Sex Ratio (Birth),Adolescent Fertility %,Child Marriage %,Women Literacy %,Women 10+ Yrs School %,Modern FP Use %,Unmet FP Need %,ANC 1st Trimester %,ANC 4+ Visits %,Institutional Births %,Full Vaccination %,Stunting %,Underweight Children %,Women Anaemia %,Improved Sanitation %,Clean Fuel %,Health Insurance %,cluster_label,transition_stage,dividend_potential
Nicobars,Andaman & Nicobar Islands,3,22.98,973.31,927.41,1.77,11.36,87.54,53.53,57.24,9.53,62.77,71.65,97.81,-64.21,21.59,24.6,38.3,83.45,56.93,2.65,,mid,emerging
South Andaman,Andaman & Nicobar Islands,3,20.95,967.48,934.92,2.81,17.06,86.67,57.5,50.5,17.6,79.4,85.94,99.46,-76.29,21.11,17.43,57.66,89.33,91.92,1.15,,mid,emerging
Srikakulam,Andhra Pradesh,3,20.71,1139.51,1162.58,5.46,25.4,64.32,42.51,72.18,5.69,79.69,78.41,97.94,-82.79,19.66,21.44,62.59,71.58,74.7,75.63,,mid,emerging
Vizianagaram,Andhra Pradesh,2,20.56,1114.35,898.03,12.74,33.72,58.32,37.63,71.18,6.68,76.08,71.35,99.01,-76.75,36.4,32.21,64.04,61.74,60.3,76.69,,mid,emerging
Visakhapatnam,Andhra Pradesh,2,21.35,1066.43,974.03,9.5,25.41,69.54,45.98,67.68,4.79,79.44,58.59,95.25,-76.49,30.96,33.53,58.02,77.77,72.87,64.92,,mid,emerging
East Godavari,Andhra Pradesh,3,20.45,995.49,881.88,6.22,25.99,77.87,43.21,66.34,7.96,76.33,50.95,96.63,-58.95,23.11,22.35,62.96,77.73,80.34,66.36,,mid,emerging
West Godavari,Andhra Pradesh,3,21.48,998.55,832.54,13.35,22.09,76.97,46.47,77.24,2.95,82.21,62.73,98.7,-80.04,31.44,22.45,63.04,80.78,86.83,67.57,,mid,emerging
Krishna,Andhra Pradesh,3,20.44,1063.63,1139.25,9.6,25.32,76.85,46.17,78.1,2.49,81.49,73.3,98.93,-89.96,29.84,21.13,60.32,79.14,89.82,68.08,,mid,emerging
Guntur,Andhra Pradesh,2,22.41,1055.16,941.42,20.7,35.37,68.48,32.61,73.17,3.23,89.41,62.47,98.61,-76.17,23.82,26.88,59.51,83.44,91.65,71.08,,mid,emerging
Prakasam,Andhra Pradesh,2,23.08,1010.57,837.05,16.42,37.28,62.83,34.54,68.72,4.8,84.74,73.4,97.4,-51.93,22.56,24.65,60.43,78.43,90.78,67.58,,mid,emerging
Sri Potti Sriramulu Nello,Andhra Pradesh,2,20.8,1048.5,1010.6,14.87,23.84,70.46,38.67,71.74,3.11,88.95,72.95,97.0,65.27,29.22,27.84,59.39,81.75,84.56,72.27,,mid,emerging
Y.S.R.,Andhra Pradesh,2,24.1,1058.05,779.03,10.86,25.56,63.76,39.95,68.38,5.52,84.39,82.75,99.43,82.99,34.43,26.7,56.13,85.35,94.25,73.34,,mid,emerging
Kurnool,Andhra Pradesh,2,25.91,1044.64,917.86,12.37,36.94,56.97,33.38,70.03,2.11,78.55,74.25,88.52,67.04,50.53,46.28,58.58,73.48,78.08,73.32,,mid,emerging
Anantapur,Andhra Pradesh,2,24.26,1047.36,881.3,13.6,37.29,63.55,31.25,67.58,6.35,80.34,66.61,94.7,-81.78,35.96,40.59,50.45,71.25,86.42,73.24,,mid,emerging
Chittoor,Andhra Pradesh,2,22.59,1024.32,1019.3,19.73,28.06,69.32,40.33,68.87,6.0,80.25,65.28,97.1,-66.55,27.06,27.91,51.8,74.62,86.63,70.66,,mid,emerging
Tawang,Arunachal Pradesh,0,27.33,1062.73,833.74,1.41,11.92,59.08,39.24,56.33,14.63,79.88,37.61,84.18,67.53,30.37,9.04,59.07,81.7,88.1,33.5,,mid,emerging
West Kameng,Arunachal Pradesh,0,21.68,970.52,766.48,1.37,12.46,73.69,43.58,47.81,17.03,45.13,27.59,93.57,-56.19,24.23,13.44,37.36,88.88,88.93,38.29,,mid,emerging
East Kameng,Arunachal Pradesh,0,31.23,985.38,995.41,8.05,26.51,62.16,31.84,57.44,9.74,41.66,29.12,75.96,60.83,35.67,14.24,26.21,75.55,49.47,25.05,,mid,emerging
Papum Pare,Arunachal Pradesh,0,30.51,1039.37,1065.42,5.95,25.43,78.22,50.46,41.03,20.31,38.39,39.28,87.99,60.72,29.72,15.62,38.44,75.7,81.3,26.94,,mid,emerging
Upper Subansiri,Arunachal Pradesh,0,27.31,1052.16,1134.79,13.19,26.66,64.31,31.8,48.44,17.31,34.64,32.11,76.95,68.45,36.79,19.18,36.69,80.93,32.77,21.49,,mid,emerging
Upper Siang,Arunachal Pradesh,0,25.8,894.05,983.18,7.06,17.05,74.37,34.75,54.03,11.94,54.51,34.01,75.98,-61.42,30.37,12.0,29.17,91.75,36.32,34.6,,mid,emerging
Changlang,Arunachal Pradesh,0,28.7,963.33,1019.25,9.03,16.75,77.6,30.51,46.34,6.73,65.0,46.94,75.05,70.93,26.3,25.03,57.21,82.3,34.08,40.54,,mid,emerging
Lower Subansiri,Arunachal Pradesh,0,22.0,1015.7,1369.73,2.01,16.01,76.8,49.91,58.0,8.52,53.37,39.08,89.77,-66.45,30.69,8.06,40.46,82.8,60.81,24.45,,mid,emerging
Dibang Valley,Arunachal Pradesh,3,22.06,982.93,1054.47,0.67,20.71,77.83,43.17,49.74,4.63,60.67,40.38,85.52,-90.71,16.88,15.95,62.87,94.99,49.26,28.69,,mid,emerging
Lower Dibang Valley,Arunachal Pradesh,0,24.52,1009.65,884.08,1.55,13.79,81.56,51.89,56.4,4.85,56.34,48.62,90.12,73.8,14.26,9.65,34.6,89.88,57.38,36.79,,mid,emerging
Anjaw,Arunachal Pradesh,0,23.18,939.24,957.37,5.06,21.8,67.89,28.81,50.9,6.79,52.0,32.32,77.95,-92.99,23.56,16.01,35.86,86.82,29.01,17.47,,mid,emerging
East Siang,Arunachal Pradesh,0,23.09,1058.6,1161.58,4.59,14.91,83.76,55.56,35.85,17.56,39.87,34.26,90.84,-48.81,24.62,10.27,35.2,83.89,52.44,30.5,,mid,emerging
Kra Daadi,Arunachal Pradesh,0,33.52,976.12,867.02,12.86,24.84,55.3,27.4,39.88,16.51,62.45,18.27,73.54,-63.58,28.8,14.54,22.6,89.26,78.33,23.97,,mid,emerging
Kurung Kumey,Arunachal Pradesh,0,30.96,997.3,868.54,7.65,19.8,76.45,34.66,47.89,16.37,45.24,44.11,69.16,-71.41,29.2,13.85,34.79,78.33,57.28,13.43,,mid,emerging
Lohit,Arunachal Pradesh,0,27.67,1001.05,838.76,5.4,20.0,73.43,37.25,43.47,14.57,66.87,39.61,90.24,-74.04,24.46,12.91,47.21,83.66,63.88,31.88,,mid,emerging
Longding,Arunachal Pradesh,0,29.92,926.46,961.12,2.2,7.88,71.91,27.7,49.0,7.29,65.8,39.58,64.51,52.68,15.75,13.77,34.12,83.45,22.41,23.81,,mid,emerging
Namsai,Arunachal Pradesh,0,30.3,982.16,867.32,11.3,26.71,67.14,22.19,48.08,8.71,61.6,35.37,63.6,67.17,28.73,17.7,58.56,75.11,28.7,30.86,,mid,emerging
